City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pionerskiy,54.9508,20.2275,10.91,85,95,7.72,RU,1681934105
84,dalandzadgad,43.5708,104.425,2.6,12,91,3.61,MN,1681934106
85,flin flon,54.7682,-101.865,0.91,37,100,4.63,CA,1681934107
86,maragogi,-9.0122,-35.2225,27.02,78,30,5.69,BR,1681934108
87,ilhabela,-23.7781,-45.3581,23.95,81,80,3.32,BR,1681934109
88,fatsa,41.0278,37.5014,13.89,97,100,2.42,TR,1681934110
89,haiku-pauwela,20.9219,-156.3051,22.8,95,100,7.2,US,1681933938
90,chonchi,-42.6128,-73.8092,17.56,97,100,0.73,CL,1681934112
91,vorgashor,67.5833,63.95,-7.22,97,100,3.49,RU,1681934112
92,ambalangoda,6.2355,80.0538,27.34,80,15,1.5,LK,1681934114
93,puchezh,56.9788,43.1676,7.02,75,84,2.07,RU,1681934115
94,georgetown,5.4112,100.3354,28.97,74,20,1.54,MY,1681933888
95,ixtapa,20.7,-105.2,33.21,35,15,4.25,MX,1681934116
96,jamestown,42.097,-79.2353,13.62,55,0,3.13,US,1681934084
97,kingaroy,-26.5333,151.8333,10.97,93,34,2.14,AU,1681934117
98,badiyah,22.45,58.8,26.25,57,58,5.54,OM,1681934118
99,aasiaat,68.7098,-52.8699,-8.56,81,89,2.91,GL,1681934118
100,rongelap,11.1635,166.8941,26.08,84,96,9.46,MH,1681934119
101,thompson,55.7435,-97.8558,-0.91,51,75,6.17,CA,1681934038
102,belyy yar,53.6039,91.3903,-5.06,68,0,2.0,RU,1681934121
103,qaqortoq,60.7167,-46.0333,0.77,89,85,1.58,GL,1681934122
104,west island,-12.1568,96.8225,26.98,82,100,10.13,CC,1681933971
105,khash,28.2211,61.2158,17.35,21,1,1.2,IR,1681934123
106,hamilton,39.1834,-84.5333,27.22,34,40,5.14,US,1681934123
107,egra,50.0796,12.3739,4.84,94,39,1.85,CZ,1681934124
108,olonkinbyen,70.9221,-8.7187,1.98,92,11,8.11,SJ,1681934124
109,kikwit,-5.041,18.8162,25.13,71,48,1.25,CD,1681934124
110,ancud,-41.8697,-73.8203,14.73,87,92,2.58,CL,1681934125
111,yuzhno-kurilsk,44.0306,145.8556,3.51,86,37,2.34,RU,1681934126
112,ascension,30.2169,-90.9001,28.93,47,0,4.63,US,1681934126
113,uige,-7.6087,15.0613,21.36,86,66,1.46,AO,1681934127
114,kalabo,-14.97,22.6814,20.66,53,7,2.42,ZM,1681934127
115,port elizabeth,-33.918,25.5701,22.95,71,0,3.09,ZA,1681934128
116,taltal,-25.4,-70.4833,20.58,69,24,1.7,CL,1681934128
117,sandnessjoen,66.0217,12.6316,7.03,90,75,3.6,NO,1681934112
118,mount pearl,47.5166,-52.7813,2.75,88,100,6.17,CA,1681934130
119,edinburgh of the seven seas,-37.0676,-12.3116,18.02,74,100,9.68,SH,1681934131
120,flying fish cove,-10.4217,105.6791,26.65,80,90,8.22,CX,1681934132
121,pacific grove,36.6177,-121.9166,17.53,62,0,4.12,US,1681934115
122,touros,-5.1989,-35.4608,27.32,79,100,4.42,BR,1681934134
123,ust-nera,64.5667,143.2,-13.99,99,100,3.35,RU,1681934134
124,international falls,48.6011,-93.411,5.08,51,100,2.68,US,1681934135
125,udachny,66.4167,112.4,-18.15,100,99,1.79,RU,1681934017
126,el bolson,-41.9667,-71.5167,18.42,67,18,1.77,AR,1681934135
127,lazaro cardenas,17.9583,-102.2,28.94,58,39,5.45,MX,1681934136
128,horta,38.5333,-28.6333,13.9,73,40,6.17,PT,1681934136
129,stanley,54.868,-1.6985,7.06,90,75,3.09,GB,1681933958
130,seaford,50.7714,0.1027,10.61,69,1,4.92,GB,1681934137
131,guelma,36.4621,7.4261,14.08,82,100,0.57,DZ,1681934138
132,giporlos,11.12,125.4494,25.86,89,68,2.11,PH,1681934138
133,portland,45.5234,-122.6762,8.99,83,75,4.63,US,1681933893
134,tidjikja,18.5564,-11.4271,31.79,14,51,2.8,MR,1681934139
135,kayyerkan,69.3786,87.7439,-17.34,98,99,2.36,RU,1681934139
136,berezovyy,51.6667,135.7,0.2,92,100,1.67,RU,1681934139
137,jiuquan,39.7432,98.5174,4.54,15,100,3.2,CN,1681934140
138,richards bay,-28.783,32.0377,21.72,81,0,5.89,ZA,1681934104
139,okhotsk,59.3833,143.3,-7.52,80,39,4.43,RU,1681934140
140,uturoa,-16.7333,-151.4333,27.97,79,73,7.2,PF,1681934141
141,tadine,-21.55,167.8833,25.17,81,7,2.02,NC,1681934141
142,mazatlan,23.2167,-106.4167,24.95,79,100,3.13,MX,1681934141
143,tamandare,-8.7597,-35.1047,27.39,76,61,5.09,BR,1681934142
144,lihue,21.9789,-159.3672,26.31,69,20,3.6,US,1681934142
145,pisco,-13.7,-76.2167,25.03,69,0,7.72,PE,1681934142
146,tocopilla,-22.092,-70.1979,21.45,73,21,2.55,CL,1681934143
147,libertad,8.9442,125.5019,24.11,93,59,2.12,PH,1681934143
148,pushkinskiye gory,57.0209,28.9103,6.63,75,8,2.47,RU,1681934143
149,gebeit,21.0667,36.3167,24.74,29,0,2.0,SD,1681934144
150,tura,25.5198,90.2201,26.35,68,72,3.98,IN,1681934066
151,minbu,20.1833,94.8833,29.34,57,0,2.76,MM,1681934144
152,"poblacion, san felipe",14.5665,121.0308,28.38,87,20,1.03,PH,1681934145
153,papatowai,-46.5619,169.4708,9.35,94,92,2.55,NZ,1681933979
154,kangding,30.0513,101.9603,11.41,97,95,1.15,CN,1681934107
155,saint-francois,46.4154,3.9054,12.69,62,0,3.09,FR,1681934146
156,haimen,23.1935,116.6142,22.94,95,100,2.51,CN,1681934146
157,crane,31.3974,-102.3501,31.36,9,0,7.05,US,1681934146
158,fort bragg,35.139,-79.006,31.22,24,0,2.57,US,1681934147
159,kisangani,0.5167,25.2,25.33,69,98,0.72,CD,1681934147
160,aktau,43.65,51.2,12.32,23,25,9.35,KZ,1681934147
161,walvis bay,-22.9575,14.5053,21.08,56,5,4.64,NA,1681934148
162,yuci,37.6803,112.7319,18.86,24,46,8.0,CN,1681934148
163,klyuchi,52.2667,79.1667,-6.65,84,5,3.61,RU,1681934148
164,yelizovo,53.1873,158.3805,2.08,74,75,4.02,RU,1681934149
165,kruisfontein,-34.0033,24.7314,18.82,56,100,0.65,ZA,1681934149
166,nevel'sk,46.6733,141.8633,3.48,93,81,4.16,RU,1681934149
